stock_name,ts_code,trade_date,action,signal_reason,close,upper_channel,lower_channel,atr,atr_stop,entry_window,exit_window,atr_period,atr_stop_multiple
三一重工,600031.SH,2025-02-07,BUY,BREAKOUT,16.75,16.48,15.31,0.39899999999999985,15.952,20,10,20,2.0
三一重工,600031.SH,2025-03-26,SELL,LOW_CHANNEL,19.29,20.75,19.53,0.5198179097925225,19.53596503566284,20,10,20,2.0
三一重工,600031.SH,2025-05-06,BUY,BREAKOUT,19.68,19.65,18.8,0.5410865977622777,18.597826804475446,20,10,20,2.0
三一重工,600031.SH,2025-05-20,SELL,LOW_CHANNEL,18.98,20.19,19.07,0.491616113363775,19.01676777327245,20,10,20,2.0
三一重工,600031.SH,2025-07-08,BUY,BREAKOUT,19.07,18.52,17.64,0.3645551707021159,18.340889658595767,20,10,20,2.0
三一重工,600031.SH,2025-02-07,BUY,BREAKOUT,16.75,16.34,15.58,0.39899999999999985,15.952,10,5,20,2.0
三一重工,600031.SH,2025-03-21,SELL,LOW_CHANNEL,19.59,20.75,19.73,0.512989251835571,19.53596503566284,10,5,20,2.0
三一重工,600031.SH,2025-05-06,BUY,BREAKOUT,19.68,19.65,18.88,0.5410865977622777,18.597826804475446,10,5,20,2.0
三一重工,600031.SH,2025-05-15,SELL,LOW_CHANNEL,19.2,20.19,19.33,0.5176044477198134,18.96492089147964,10,5,20,2.0
三一重工,600031.SH,2025-07-02,BUY,BREAKOUT,18.2,18.13,17.64,0.3652179411786174,17.469564117642765,10,5,20,2.0
平安银行,000001.SZ,2024-02-21,BUY,BREAKOUT,10.8,9.88,9.07,0.24550910490229624,10.308981790195409,20,10,20,2.0
平安银行,000001.SZ,2024-03-04,SELL,ATR_STOP,10.33,11.24,9.65,0.24616499142803247,10.407670017143936,20,10,20,2.0
平安银行,000001.SZ,2024-04-18,BUY,BREAKOUT,10.8,10.68,10.04,0.21547194976163614,10.369056100476728,20,10,20,2.0
平安银行,000001.SZ,2024-05-30,SELL,ATR_STOP,11.12,11.74,10.83,0.22299909943359197,11.120002211318594,20,10,20,2.0
平安银行,000001.SZ,2024-08-20,BUY,BREAKOUT,10.34,10.33,9.87,0.1558691097544436,10.028261780491112,20,10,20,2.0
平安银行,000001.SZ,2024-08-29,SELL,ATR_STOP,10.13,10.55,9.87,0.16042431356452067,10.18068565565364,20,10,20,2.0
平安银行,000001.SZ,2024-09-26,BUY,BREAKOUT,11.15,10.7,9.61,0.20006576864371003,10.74986846271258,20,10,20,2.0
平安银行,000001.SZ,2024-10-09,SELL,ATR_STOP,11.68,13.43,9.66,0.34433525647135593,12.283504723218199,20,10,20,2.0
平安银行,000001.SZ,2025-02-17,BUY,BREAKOUT,11.78,11.59,11.22,0.18284459024700894,11.414310819505982,20,10,20,2.0
平安银行,000001.SZ,2025-03-17,SELL,ATR_STOP,11.5,12.0,11.44,0.1783286266124124,11.648255522921238,20,10,20,2.0
平安银行,000001.SZ,2025-05-13,BUY,BREAKOUT,11.29,11.22,10.89,0.12852053915183365,11.032958921696332,20,10,20,2.0
平安银行,000001.SZ,2025-07-16,SELL,ATR_STOP,12.64,13.33,12.23,0.24636219882340918,12.72298137964341,20,10,20,2.0
平安银行,000001.SZ,2024-05-17,BUY,BREAKOUT,11.42,11.24,10.21,0.2134519023230693,10.99309619535386,55,20,20,2.0
平安银行,000001.SZ,2024-05-30,SELL,ATR_STOP,11.12,11.74,10.52,0.22299909943359197,11.120002211318594,55,20,20,2.0
平安银行,000001.SZ,2024-09-26,BUY,BREAKOUT,11.15,10.7,9.61,0.20006576864371003,10.74986846271258,55,20,20,2.0
平安银行,000001.SZ,2024-10-09,SELL,ATR_STOP,11.68,13.43,9.61,0.34433525647135593,12.283504723218199,55,20,20,2.0
平安银行,000001.SZ,2025-06-25,BUY,BREAKOUT,12.06,12.01,11.42,0.1711110515066933,11.717777896986615,55,20,20,2.0
平安银行,000001.SZ,2025-07-16,SELL,ATR_STOP,12.64,13.33,11.65,0.24636219882340918,12.72298137964341,55,20,20,2.0
平安银行,000001.SZ,2024-02-21,BUY,BREAKOUT,10.8,9.84,9.29,0.24550910490229624,10.308981790195409,10,5,20,2.0
平安银行,000001.SZ,2024-03-04,SELL,LOW_CHANNEL,10.33,11.24,10.4,0.24616499142803247,10.407670017143936,10,5,20,2.0
平安银行,000001.SZ,2024-04-18,BUY,BREAKOUT,10.8,10.68,10.04,0.21547194976163614,10.369056100476728,10,5,20,2.0
平安银行,000001.SZ,2024-05-29,SELL,LOW_CHANNEL,11.26,11.74,11.3,0.21999905203536002,11.120002211318594,10,5,20,2.0
平安银行,000001.SZ,2024-07-01,BUY,BREAKOUT,10.35,10.26,9.88,0.20083525627960955,9.94832948744078,10,5,20,2.0
平安银行,000001.SZ,2024-07-05,SELL,LOW_CHANNEL,9.97,10.48,10.04,0.20314782146009377,10.011267744294539,10,5,20,2.0
平安银行,000001.SZ,2024-08-19,BUY,BREAKOUT,10.29,10.22,9.87,0.15617801026783534,9.977643979464329,10,5,20,2.0
平安银行,000001.SZ,2024-08-29,SELL,LOW_CHANNEL,10.13,10.55,10.28,0.16042431356452067,10.18068565565364,10,5,20,2.0
平安银行,000001.SZ,2024-09-24,BUY,BREAKOUT,10.37,10.21,9.66,0.1683000206578505,10.033399958684297,10,5,20,2.0
平安银行,000001.SZ,2024-10-09,SELL,ATR_STOP,11.68,13.43,10.45,0.34433525647135593,12.283504723218199,10,5,20,2.0
平安银行,000001.SZ,2024-11-07,BUY,BREAKOUT,11.91,11.86,11.24,0.30484726646233967,11.30030546707532,10,5,20,2.0
平安银行,000001.SZ,2024-11-15,SELL,LOW_CHANNEL,11.44,12.01,11.47,0.28791487361191426,11.334170252776172,10,5,20,2.0
平安银行,000001.SZ,2024-12-06,BUY,BREAKOUT,11.66,11.61,11.31,0.2384938296034184,11.183012340793164,10,5,20,2.0
平安银行,000001.SZ,2025-01-02,SELL,LOW_CHANNEL,11.43,12.02,11.66,0.21635382945086304,11.543177109250164,10,5,20,2.0
平安银行,000001.SZ,2025-02-17,BUY,BREAKOUT,11.78,11.55,11.34,0.18284459024700894,11.414310819505982,10,5,20,2.0
平安银行,000001.SZ,2025-02-25,SELL,LOW_CHANNEL,11.47,11.96,11.55,0.17205023803522723,11.465899523929545,10,5,20,2.0
平安银行,000001.SZ,2025-03-12,BUY,BREAKOUT,11.85,11.7,11.48,0.16143738342313738,11.527125233153726,10,5,20,2.0
平安银行,000001.SZ,2025-03-17,SELL,LOW_CHANNEL,11.5,12.0,11.52,0.1783286266124124,11.648255522921238,10,5,20,2.0
平安银行,000001.SZ,2025-05-09,BUY,BREAKOUT,11.15,11.08,10.89,0.1276958882568794,10.894608223486241,10,5,20,2.0
平安银行,000001.SZ,2025-07-16,SELL,LOW_CHANNEL,12.64,13.33,12.66,0.24636219882340918,12.72298137964341,10,5,20,2.0
绿的谐波,688017.SH,2025-08-06,BUY,BREAKOUT,140.13,138.0,126.17,4.670983068701561,130.78803386259688,20,10,20,2.0
绿的谐波,688017.SH,2025-09-04,SELL,LOW_CHANNEL,144.05,165.0,144.17,7.112492279093152,146.599047580957,20,10,20,2.0
绿的谐波,688017.SH,2025-09-08,BUY,BREAKOUT,168.7,165.0,142.0,7.865174281881569,152.96965143623686,20,10,20,2.0
绿的谐波,688017.SH,2025-10-13,SELL,LOW_CHANNEL,164.89,192.68,166.0,9.065440727503978,165.45945449189918,20,10,20,2.0
绿的谐波,688017.SH,2025-12-08,BUY,BREAKOUT,158.92,158.53,140.5,6.133530040370166,146.65293991925967,20,10,20,2.0
绿的谐波,688017.SH,2026-03-03,SELL,LOW_CHANNEL,209.58,248.42,215.5,13.841591464701281,215.65487740060038,20,10,20,2.0
绿的谐波,688017.SH,2026-04-22,BUY,BREAKOUT,219.99,216.33,193.0,9.68022860218494,200.62954279563013,20,10,20,2.0
绿的谐波,688017.SH,2026-05-29,SELL,ATR_STOP,306.0,383.88,262.0,20.133988846970844,314.32155392430485,20,10,20,2.0
绿的谐波,688017.SH,2026-06-05,BUY,BREAKOUT,393.0,383.88,287.0,24.409948915623648,344.1801021687527,20,10,20,2.0
绿的谐波,688017.SH,2026-06-11,SELL,ATR_STOP,367.0,450.2,287.0,29.256847516456183,374.39609706031507,20,10,20,2.0
绿的谐波,688017.SH,2025-09-16,BUY,BREAKOUT,180.39,178.0,142.0,8.210635151400949,163.96872969719809,55,20,20,2.0
绿的谐波,688017.SH,2025-10-13,SELL,ATR_STOP,164.89,192.68,142.08,9.065440727503978,165.45945449189918,55,20,20,2.0
绿的谐波,688017.SH,2025-12-29,BUY,BREAKOUT,175.01,172.0,142.86,6.059446189524761,162.89110762095046,55,20,20,2.0
绿的谐波,688017.SH,2026-03-03,SELL,ATR_STOP,209.58,248.42,198.48,13.841591464701281,215.65487740060038,55,20,20,2.0
绿的谐波,688017.SH,2026-05-08,BUY,BREAKOUT,262.99,248.42,183.41,11.885989510287764,239.21802097942447,55,20,20,2.0
绿的谐波,688017.SH,2026-05-29,SELL,ATR_STOP,306.0,383.88,205.0,20.133988846970844,314.32155392430485,55,20,20,2.0
绿的谐波,688017.SH,2026-06-05,BUY,BREAKOUT,393.0,383.88,228.58,24.409948915623648,344.1801021687527,55,20,20,2.0
绿的谐波,688017.SH,2026-06-11,SELL,ATR_STOP,367.0,450.2,262.0,29.256847516456183,374.39609706031507,55,20,20,2.0
绿的谐波,688017.SH,2025-08-06,BUY,BREAKOUT,140.13,134.58,126.17,4.670983068701561,130.78803386259688,10,5,20,2.0
绿的谐波,688017.SH,2025-09-04,SELL,LOW_CHANNEL,144.05,165.0,144.17,7.112492279093152,146.599047580957,10,5,20,2.0
绿的谐波,688017.SH,2025-09-08,BUY,BREAKOUT,168.7,165.0,142.0,7.865174281881569,152.96965143623686,10,5,20,2.0
绿的谐波,688017.SH,2025-10-13,SELL,LOW_CHANNEL,164.89,185.27,170.42,9.065440727503978,165.45945449189918,10,5,20,2.0
绿的谐波,688017.SH,2025-12-01,BUY,BREAKOUT,149.9,148.0,140.5,6.0556353680464845,137.78872926390704,10,5,20,2.0
绿的谐波,688017.SH,2025-12-16,SELL,LOW_CHANNEL,150.68,160.77,150.79,5.729774631705938,147.46045073658811,10,5,20,2.0
绿的谐波,688017.SH,2025-12-25,BUY,BREAKOUT,167.24,160.85,151.48,5.727918215539901,155.7841635689202,10,5,20,2.0
绿的谐波,688017.SH,2026-01-26,SELL,LOW_CHANNEL,204.4,228.66,207.89,11.2879599471622,200.07813250692953,10,5,20,2.0
绿的谐波,688017.SH,2026-02-13,BUY,BREAKOUT,242.38,241.98,198.48,13.36256129969981,215.65487740060038,10,5,20,2.0
绿的谐波,688017.SH,2026-03-03,SELL,LOW_CHANNEL,209.58,248.42,222.35,13.841591464701281,215.65487740060038,10,5,20,2.0
绿的谐波,688017.SH,2026-04-01,BUY,BREAKOUT,201.99,197.49,182.8,10.549847155258743,180.89030568948252,10,5,20,2.0
绿的谐波,688017.SH,2026-05-28,SELL,LOW_CHANNEL,316.13,383.88,318.8,19.58472510207457,314.32155392430485,10,5,20,2.0
绿的谐波,688017.SH,2026-06-05,BUY,BREAKOUT,393.0,383.88,287.0,24.409948915623648,344.1801021687527,10,5,20,2.0
绿的谐波,688017.SH,2026-06-11,SELL,ATR_STOP,367.0,450.2,310.0,29.256847516456183,374.39609706031507,10,5,20,2.0
